지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2024-05-20,14.4,12.8,15.8,.9,1.7,78,0,6.7
90,속초,2024-05-21,15.6,12.3,19.2,,2.7,75.5,9.7,27.32
90,속초,2024-05-22,17.9,11.9,23,,2.9,75.3,13.7,30.05
90,속초,2024-05-23,26.7,17.5,33.2,,2.3,36.8,12.6,29.2
90,속초,2024-05-24,16.6,13.3,20.9,.2,2.5,74.8,2.4,11.64
90,속초,2024-05-25,16.3,11.9,21,,3.2,71.6,5.9,21.54
90,속초,2024-05-26,17.8,14.5,23,,1.9,77.8,1,13.39
90,속초,2024-05-27,20.4,16.9,23.8,,3.2,44.6,10.5,21.97
90,속초,2024-05-28,16.8,12.5,20.5,,2.4,62.4,7,24.27
90,속초,2024-05-29,19.6,11.4,30.3,,1.6,59.5,12.4,27.28
90,속초,2024-05-30,18.6,16.9,21.3,,1.4,68.6,.4,11.8
90,속초,2024-05-31,18,16.1,21.1,,1.8,81.6,8.3,24.71
90,속초,2024-06-01,16.2,14.1,17.7,1.3,2.1,84,1,8.01
90,속초,2024-06-02,15.9,12,19.7,.6,1.6,81.6,6.9,20.28
90,속초,2024-06-03,16.7,11.2,20.4,,2,76.4,13.8,30.91
90,속초,2024-06-04,18,13.3,22.2,,2.9,75,13.6,30.58
90,속초,2024-06-05,19.1,14.3,22.6,,2.1,82,11.4,27.34
90,속초,2024-06-06,19.9,16.8,23.5,,2.1,82.9,10.4,25.82
90,속초,2024-06-07,20.8,17.2,23.6,,2,76.9,8.3,22.03
90,속초,2024-06-08,18.8,17.2,21.1,10.9,1.9,88.3,.7,8.64
90,속초,2024-06-09,22.4,16,26.7,,2.4,70.5,13.4,28.45
90,속초,2024-06-10,23,19.7,27.9,,1.9,69.1,12.4,26.47
90,속초,2024-06-11,24.9,18.7,29.9,,2.1,66.6,13.5,28.78
90,속초,2024-06-12,26.5,21.6,34.2,,1.5,47.9,9.3,24.81
90,속초,2024-06-13,23.2,20.2,26.8,,1.6,73.3,13.6,28.9
90,속초,2024-06-14,22.7,19.8,26.1,,2.6,82.4,9.4,25.66
90,속초,2024-06-15,22.1,20.2,25.5,10,1.7,83.4,2.2,11.87
90,속초,2024-06-16,24.1,18.8,27.4,,2.1,57.8,13.7,30.11
90,속초,2024-06-17,28.6,22.4,34.1,,2.7,34,13.4,29.11
90,속초,2024-06-18,25.8,21.8,30.9,,2.2,57.6,13.7,28.73
90,속초,2024-06-19,24.5,20.2,28.6,,1.9,73.9,13.4,28.83
90,속초,2024-06-20,25.6,21.5,30.5,,1.6,62.4,10.6,26.12
90,속초,2024-06-21,23.8,20.8,28,,2.6,76.5,12.9,28.91
90,속초,2024-06-22,22,21.5,23.2,8.3,1.6,90.1,0,4.91
90,속초,2024-06-23,21.4,20.5,23.7,17.7,1.9,93.3,1,11.73
90,속초,2024-06-24,22.7,20.1,25,,2.4,82,2.4,16.9
90,속초,2024-06-25,22.7,18.5,27,,2.4,57.1,5.2,10.13
90,속초,2024-06-26,23.1,18.2,26.6,,2.2,72.3,13.8,30.63
90,속초,2024-06-27,24.9,19.7,31.3,,2.2,67,12.2,26.62
90,속초,2024-06-28,23.7,20,27.4,,2.3,72,13.5,28.09
90,속초,2024-06-29,24.4,19.6,28.4,20.2,2.2,78.8,11.6,27.44
90,속초,2024-06-30,22.4,20.9,24.4,64.8,2.3,90.9,2.4,10.68
90,속초,2024-07-01,24.7,20.5,31.4,,2.3,80.3,10.6,23.83
90,속초,2024-07-02,21.4,20.9,22.4,44.5,2.2,93.4,0,1.8
90,속초,2024-07-03,26.5,20.7,30.1,.5,3.6,65.3,3.8,16.69
90,속초,2024-07-04,27.8,24.8,31.9,.8,2.8,62.4,7.5,23.31
90,속초,2024-07-05,28,24.5,31.9,1.4,3.6,56.9,10.4,27.14
90,속초,2024-07-06,26.8,23.1,33.1,.1,2.4,69.4,1.3,10.37
90,속초,2024-07-07,27.5,25.3,30.2,,4.1,60.5,1,12.35
90,속초,2024-07-08,25.9,23.5,30.1,2.5,1.5,82.4,1.3,11.08
90,속초,2024-07-09,24.3,22.6,27.3,2.1,1.9,87,3.3,17.45
90,속초,2024-07-10,22.7,21,25,4.4,2.5,90.4,2.3,14.19
90,속초,2024-07-11,24.1,19.2,28.4,,2.3,79,13.1,27.89
90,속초,2024-07-12,24.2,21.9,26.8,,1.7,86.9,9,22.22
90,속초,2024-07-13,23.6,22.2,26.1,,1.5,89.8,0,11.74
90,속초,2024-07-14,22.2,20.4,23.3,.1,1.4,90.3,0,6.22
90,속초,2024-07-15,22.7,21.2,24.8,.2,1.6,90.8,0,6.79
90,속초,2024-07-16,24.5,22.4,27.8,1.1,1.8,89.9,4.4,20.31
90,속초,2024-07-17,25,23.2,28.9,31.6,1.7,88,.3,4.76
90,속초,2024-07-18,24.7,22.1,26.9,6.4,2,87.1,0,3.3
90,속초,2024-07-19,28.4,24.9,32.6,,2.2,64.8,11.8,25.17
90,속초,2024-07-20,27.8,24.9,31.5,0,1.9,69,5.2,13.75
90,속초,2024-07-21,30.4,26.7,32.8,0,4.5,55.3,6.9,18.44
90,속초,2024-07-22,29.8,26.3,33,.3,2.8,64,1.3,7.74
90,속초,2024-07-23,30.3,25,32.6,3.3,3.8,57.8,3.5,12.49
90,속초,2024-07-24,29.6,25.6,34.7,,2.4,65.8,9.4,22.78
90,속초,2024-07-25,29,26.6,33.1,,1.6,73.5,3.2,16.24
90,속초,2024-07-26,27,25.2,29.4,5.4,1.6,89.3,5.1,18.67
90,속초,2024-07-27,27.5,25.8,32.1,4.4,1.1,89.3,.4,9
90,속초,2024-07-28,31.3,26.5,36.5,,2.9,62.8,6.5,21.65
90,속초,2024-07-29,31.8,30.3,34.3,.2,4.5,59.4,6,18.08
90,속초,2024-07-30,32,30,35.2,,2.7,60.1,9.7,24.79
90,속초,2024-07-31,30.3,27.4,34.2,,2.3,67.1,13.2,28.05
90,속초,2024-08-01,31.5,27.1,36.6,,1.9,63.4,12.1,24.64
90,속초,2024-08-02,29.8,27.6,34.2,0,2,74.4,6.8,18.08
90,속초,2024-08-03,31.4,27.2,35.2,,2,66.1,12.8,24.95
90,속초,2024-08-04,28.5,26.5,32.1,,2.4,82.5,4.6,17.37
90,속초,2024-08-05,28.1,26.1,31.8,3.3,2.9,84.3,4.6,17.1
90,속초,2024-08-06,27.3,24.8,30.5,0,2.1,85.5,4.8,16.25
90,속초,2024-08-07,28.5,24.9,31.9,0,1.6,77.4,6.8,18.11
90,속초,2024-08-08,28.2,25.5,30.6,,1.6,78.3,2.8,12.7
90,속초,2024-08-09,28,24.2,31.9,,2.2,82.5,11.3,25.78
90,속초,2024-08-10,27.9,24.1,31.9,,3,81,9.6,23.7
90,속초,2024-08-11,27.1,22.5,31.1,,3.4,80.4,7.1,20.08
90,속초,2024-08-12,26.5,21.9,30.9,,1.7,82.9,9.9,23.5
90,속초,2024-08-13,26.8,23.3,30.4,,1.7,80.5,12.1,25.28
90,속초,2024-08-14,26.9,22.9,30.4,,1.5,80.1,11.5,24.99
90,속초,2024-08-15,26.9,22.6,31.1,,1.8,75.5,12.2,25.52
90,속초,2024-08-16,26.7,23,30.8,,1.7,79.4,7.8,18.64
90,속초,2024-08-17,27.6,23.6,31.7,,2.1,78.6,12.5,25.81
90,속초,2024-08-18,27.5,24.2,31.7,,2.5,79.4,10.3,24.12
90,속초,2024-08-19,28,24.4,31.8,,1.9,79.9,11.7,24.32
90,속초,2024-08-20,27.9,25.2,31.4,23.8,2,86,4.2,17.16
90,속초,2024-08-21,26.7,25.8,27.6,14.7,1.1,93.5,0,2.09
90,속초,2024-08-22,30,26,33.9,.5,2.8,72.1,5,15.25
90,속초,2024-08-23,31.3,28.1,35.3,,3.8,52.5,11.4,24.21
90,속초,2024-08-24,27.4,25,30.3,,1.8,77.8,7.8,19.48
90,속초,2024-08-25,26.5,24.4,29.6,,1.5,83.8,7,19.56
90,속초,2024-08-26,26.2,24.2,29.4,,1.6,86.6,.3,8.74
90,속초,2024-08-27,24.9,22.2,27.7,.4,1.7,84.6,2.3,7.46
90,속초,2024-08-28,25.4,22.3,29.8,.1,2,79.6,6.5,20.02
90,속초,2024-08-29,25.2,21.4,27.7,2.6,2.7,82.3,.7,9.43
90,속초,2024-08-30,24.9,21.9,28.4,1,1.8,81.6,3.7,13.2
90,속초,2024-08-31,24.6,20.7,29.1,,2.5,72.8,8.8,21.34
90,속초,2024-09-01,25.8,20,31.3,,2,75.8,11,23.32
90,속초,2024-09-02,22.3,20.6,25.8,23,1.9,88.4,0,2.46
90,속초,2024-09-03,22.4,19,26.8,,2,74.6,10.5,23.49
90,속초,2024-09-04,23.4,18.4,27.7,,2.8,77.4,11.6,23.24
90,속초,2024-09-05,26.3,21.1,30,,1.8,72.8,4.3,9.7
90,속초,2024-09-06,23.3,21.5,26.1,6,1.9,76.9,0,5.12
90,속초,2024-09-07,23.7,21.2,27.1,.2,1.5,81.5,4,15.4
